place,osm_type,Latitude,Longitude,
hamlet,nodes,20.3576727,-75.1223751,12/16/2016
hamlet,nodes,20.3490823,-75.116088,12/16/2016
hamlet,nodes,20.3193334,-75.0355698,12/16/2016
hamlet,nodes,20.3276857,-75.1435662,12/16/2016
hamlet,nodes,20.3826653,-75.2686325,12/16/2016
hamlet,nodes,20.39415,-75.2644053,12/16/2016
hamlet,nodes,20.4273178,-75.25554,12/16/2016
hamlet,nodes,20.4546493,-75.2656925,12/16/2016
hamlet,nodes,20.4885432,-75.2658961,12/16/2016
hamlet,nodes,20.4910206,-75.2524707,12/16/2016
hamlet,nodes,20.4963327,-75.2731127,12/16/2016
hamlet,nodes,20.4197747,-75.1233145,12/16/2016
hamlet,nodes,20.439677,-75.1483325,12/16/2016
hamlet,nodes,20.693978,-75.1925913,12/16/2016
hamlet,nodes,20.7047454,-75.2251734,12/16/2016
hamlet,nodes,20.7171213,-75.2355711,12/16/2016
hamlet,nodes,20.6538294,-75.0695502,12/16/2016
hamlet,nodes,20.6364489,-75.1108552,12/16/2016
hamlet,nodes,20.6284955,-75.0104314,12/16/2016
hamlet,nodes,20.5969646,-75.1092311,12/16/2016
hamlet,nodes,20.6293473,-75.6736912,12/16/2016
hamlet,nodes,20.6302339,-75.6885052,12/16/2016
hamlet,nodes,20.6267397,-75.7035041,12/16/2016
hamlet,nodes,20.6333133,-75.7211577,12/16/2016
hamlet,nodes,20.6726308,-75.7352261,12/16/2016
hamlet,nodes,20.6909094,-75.7212043,12/16/2016
hamlet,nodes,20.6733909,-75.7569363,12/16/2016
hamlet,nodes,20.6122948,-75.7073776,12/16/2016
hamlet,nodes,20.6223215,-75.6999421,12/16/2016
hamlet,nodes,20.6084901,-75.6918245,12/16/2016
hamlet,nodes,20.6133607,-75.6817489,12/16/2016
hamlet,nodes,20.7028836,-75.59405,12/16/2016
hamlet,nodes,20.6706297,-75.6579871,12/16/2016
hamlet,nodes,20.6948631,-75.6977213,12/16/2016
hamlet,nodes,20.6992778,-75.6739977,12/16/2016
hamlet,nodes,20.6901762,-75.66914,12/16/2016
hamlet,nodes,20.7125673,-75.6583025,12/16/2016
hamlet,nodes,20.7177938,-75.6729541,12/16/2016
hamlet,nodes,20.8074543,-76.2903347,12/16/2016
hamlet,nodes,20.921286,-75.7026535,12/16/2016
hamlet,nodes,20.9238167,-75.7305488,12/16/2016
hamlet,nodes,20.9490462,-75.7364516,12/16/2016
hamlet,nodes,20.9646456,-75.7487047,12/16/2016
city,nodes,20.9617915,-75.722894,12/16/2016
hamlet,nodes,20.9410851,-75.6776916,12/16/2016
hamlet,nodes,20.9742072,-75.7467764,12/16/2016
hamlet,nodes,20.9891058,-75.7707281,12/16/2016
hamlet,nodes,20.9890765,-75.7658988,12/16/2016
hamlet,nodes,20.9860789,-75.7689583,12/16/2016
hamlet,nodes,20.9861676,-75.7994246,12/16/2016
hamlet,nodes,20.9667286,-75.7548094,12/16/2016
hamlet,nodes,20.9536648,-75.7761276,12/16/2016
